 54
    1 H   0.32
    2 He  0.93
    3 Li  1.23
    4 Be  0.90
    5 B   0.82
    6 C   0.77
    7 N   0.75
    8 O   0.73
    9 F   0.72
   10 Ne  0.71
   11 Na  1.54
   12 Mg  1.36
   13 Al  1.18
   14 Si  1.11
   15 P   1.06
   16 S   1.02
   17 Cl  0.96
   18 Ar  0.98
   19 K   2.03
   20 Ca  1.74
   21 Sc  1.44
   22 Ti  1.32
   23 V   1.22
   24 Cr  1.18
   25 Mn  1.17
   26 Fe  1.17
   27 Co  1.16
   28 Ni  1.15
   29 Cu  1.17
   30 Zn  1.25
   31 Ga  1.26
   32 Ge  1.22 
   33 As  1.20
   34 Se  1.16
   35 Br  1.10
   36 Kr  1.12
   37 Rb  2.16
   38 Sr  1.91
   39 Y   1.62
   40 Zr  1.45
   41 Nb  1.34
   42 Mo  1.30
   43 Tc  1.27
   44 Ru  1.25
   45 Rh  1.25
   46 Pd  1.28
   47 Ag  1.34
   48 Cd  1.48
   49 In  1.44
   50 Sn  1.41
   51 Sb  1.40
   52 Te  1.36
   53 I   1.28
   54 Xe  1.31









