Filename,Class Name,Substructure,Status
subsCyclicEthers.sdf,(-ccccco-),(-ccccco-),UNIQUE
subsCyclicEthers.sdf,(-cccco-),(-cccco-),UNIQUE
subsCyclicEthers.sdf,(-ccco-),(-ccco-),UNIQUE
subsCyclicEthers.sdf,(-cco-),(-cco-),UNIQUE
subsCyclicEthers.sdf,(Q)(Q)(-ccccco-),(q)(q)(-ccccco-),Q-CLASS
subsCyclicEthers.sdf,(Q)(Q)(-cccco-),(q)(q)(-cccco-),Q-CLASS
subsCyclicEthers.sdf,(Q)(Q)(-ccco-),(q)(q)(-ccco-),Q-CLASS
subsCyclicEthers.sdf,(Q)(Q)(-cco-),(q)(q)(-cco-),Q-CLASS
subsPeroxy.sdf,(Q)(Q)(Q)coo.,(q)(q)(q)coo.,Q-CLASS
subsPeroxy.sdf,(Q)(Q)(X)coo.,(q)(q)(h)coo.,Q-CLASS
subsKetoAlkeneAlphaRadical.sdf,(QQ)cc(Q)coc(XX),(qq)cc(q)coc(hh),Q-CLASS
subsKetoAlkeneAlphaRadical.sdf,(QQ)cc(Q)coc(XX),(qq)cc(q)coc(rh),Q-CLASS
subsKetoAlkeneAlphaRadical.sdf,(QQ)cc(Q)coc(XX),(qq)cc(q)coc(rr),Q-CLASS
subsCyclicEthers2.sdf,(X)(X)(-ccccco-),(h)(h)(-ccccco-),UNIQUE
subsCyclicEthers2.sdf,(X)(X)(-ccccco-),(r)(h)(-ccccco-),UNIQUE
subsCyclicEthers2.sdf,(X)(X)(-ccccco-),(r)(r)(-ccccco-),UNIQUE
subsCyclicEthers2.sdf,(X)(X)(-cccco-),(h)(h)(-cccco-),UNIQUE
subsCyclicEthers2.sdf,(X)(X)(-cccco-),(r)(h)(-cccco-),UNIQUE
subsCyclicEthers2.sdf,(X)(X)(-cccco-),(r)(r)(-cccco-),UNIQUE
subsCyclicEthers2.sdf,(X)(X)(-ccco-),(h)(h)(-ccco-),UNIQUE
subsCyclicEthers2.sdf,(X)(X)(-ccco-),(r)(h)(-ccco-),UNIQUE
subsCyclicEthers2.sdf,(X)(X)(-ccco-),(r)(r)(-ccco-),UNIQUE
subsCyclicEthers2.sdf,(X)(X)(-cco-),(h)(h)(-cco-),UNIQUE
subsCyclicEthers2.sdf,(X)(X)(-cco-),(r)(h)(-cco-),UNIQUE
subsCyclicEthers2.sdf,(X)(X)(-cco-),(r)(r)(-cco-),UNIQUE
subsCyclicEthers3.sdf,(X)(X)(-cco-)cc(XXX),(h)(h)(-cco-)cc(hhh),UNIQUE
subsCyclicEthers3.sdf,(X)(X)(-cco-)cc(XXX),(r)(h)(-cco-)cc(hhh),UNIQUE
subsCyclicEthers3.sdf,(X)(X)(-cco-)cc(XXX),(r)(r)(-cco-)cc(hhh),UNIQUE
subsCyclicEthers3.sdf,(X)(X)(-cco-)cc(XXX),(h)(h)(-cco-)cc(rhh),UNIQUE
subsCyclicEthers3.sdf,(X)(X)(-cco-)cc(XXX),(r)(h)(-cco-)cc(rhh),UNIQUE
subsCyclicEthers3.sdf,(X)(X)(-cco-)cc(XXX),(r)(r)(-cco-)cc(rhh),UNIQUE
subsCyclicEthers3.sdf,(X)(X)(-cco-)cc(XXX),(h)(h)(-cco-)cc(rrh),UNIQUE
subsCyclicEthers3.sdf,(X)(X)(-cco-)cc(XXX),(r)(h)(-cco-)cc(rrh),UNIQUE
subsCyclicEthers3.sdf,(X)(X)(-cco-)cc(XXX),(r)(r)(-cco-)cc(rrh),UNIQUE
subsCyclicEthers3.sdf,(X)(X)(-cco-)cc(XXX),(h)(h)(-cco-)cc(rrr),UNIQUE
subsCyclicEthers3.sdf,(X)(X)(-cco-)cc(XXX),(r)(h)(-cco-)cc(rrr),UNIQUE
subsCyclicEthers3.sdf,(X)(X)(-cco-)cc(XXX),(r)(r)(-cco-)cc(rrr),UNIQUE
subsOOQOOH.sdf,(X)(X)(ccccoo.)cooh,(h)(h)(ccccoo.)cooh,UNIQUE
subsOOQOOH.sdf,(X)(X)(ccccoo.)cooh,(h)(r)(ccccoo.)cooh,UNIQUE
subsOOQOOH.sdf,(X)(X)(cccoo.)cooh,(h)(h)(cccoo.)cooh,UNIQUE
subsOOQOOH.sdf,(X)(X)(cccoo.)cooh,(h)(r)(cccoo.)cooh,UNIQUE
subsDiPeroxy.sdf,(X)(X)(cccooh)cooh,(h)(h)(cccooh)cooh,UNIQUE
subsPeroxy.sdf,(X)(X)(X)coo.,(h)(h)(h)coo.,UNIQUE
subsPeroxy.sdf,(X)(X)(X)coo.,(h)(h)(r)coo.,UNIQUE
subsPeroxy.sdf,(X)(X)(X)coo.,(h)(r)(r)coo.,UNIQUE
subsPeroxy.sdf,(X)(X)(X)coo.,(r)(r)(r)coo.,UNIQUE
subsPeroxy.sdf,(X)(X)(X)cooh,(h)(h)(h)cooh,UNIQUE
subsPeroxy.sdf,(X)(X)(X)cooh,(h)(h)(r)cooh,UNIQUE
subsPeroxy.sdf,(X)(X)(X)cooh,(h)(r)(r)cooh,UNIQUE
subsPeroxy.sdf,(X)(X)(X)cooh,(r)(r)(r)cooh,UNIQUE
subsAldKetone.sdf,(X)(X)c(o),(h)(h)c(o),UNIQUE
subsAldKetone.sdf,(X)(X)c(o),(r)(h)c(o),UNIQUE
subsAldKetone.sdf,(X)(X)c(o),(r)(r)c(o),UNIQUE
subsAldKetone.sdf,(X).c(o),(h).c(o),UNIQUE
subsAldKetone.sdf,(X).c(o),(r).c(o),UNIQUE
subsAldKetone.sdf,(X).cooh-r,(h).cooh-r,UNIQUE
subsAldKetone11.sdf,(X)coc(XX)c(XX)co,(h)coc(hh)c(hh)co,UNIQUE
subsAldKetone11.sdf,(X)coc(XX)c(XX)co,(r)coc(hh)c(hh)co,UNIQUE
subsAldKetone11.sdf,(X)coc(XX)c(XX)co,(h)coc(rh)c(hh)co,UNIQUE
subsAldKetone11.sdf,(X)coc(XX)c(XX)co,(r)coc(rh)c(hh)co,UNIQUE
subsAldKetone11.sdf,(X)coc(XX)c(XX)co,(h)coc(rr)c(hh)co,UNIQUE
subsAldKetone11.sdf,(X)coc(XX)c(XX)co,(r)coc(rr)c(hh)co,UNIQUE
subsAldKetone11.sdf,(X)coc(XX)c(XX)co,(h)coc(hh)c(rh)co,UNIQUE
subsAldKetone11.sdf,(X)coc(XX)c(XX)co,(r)coc(hh)c(rh)co,UNIQUE
subsAldKetone11.sdf,(X)coc(XX)c(XX)co,(h)coc(rh)c(rh)co,UNIQUE
subsAldKetone11.sdf,(X)coc(XX)c(XX)co,(r)coc(rh)c(rh)co,UNIQUE
subsAldKetone11.sdf,(X)coc(XX)c(XX)co,(h)coc(rr)c(rh)co,UNIQUE
subsAldKetone11.sdf,(X)coc(XX)c(XX)co,(r)coc(rr)c(rh)co,UNIQUE
subsAldKetone11.sdf,(X)coc(XX)c(XX)co,(h)coc(hh)c(rr)co,UNIQUE
subsAldKetone11.sdf,(X)coc(XX)c(XX)co,(r)coc(hh)c(rr)co,UNIQUE
subsAldKetone11.sdf,(X)coc(XX)c(XX)co,(h)coc(rh)c(rr)co,UNIQUE
subsAldKetone11.sdf,(X)coc(XX)c(XX)co,(r)coc(rh)c(rr)co,UNIQUE
subsAldKetone11.sdf,(X)coc(XX)c(XX)co,(h)coc(rr)c(rr)co,UNIQUE
subsAldKetone11.sdf,(X)coc(XX)c(XX)co,(r)coc(rr)c(rr)co,UNIQUE
subsAldKetone10.sdf,(X)coc(XX)coc.(XX),(h)coc(hh)coc.(hh),UNIQUE
subsAldKetone10.sdf,(X)coc(XX)coc.(XX),(r)coc(hh)coc.(hh),UNIQUE
subsAldKetone10.sdf,(X)coc(XX)coc.(XX),(h)coc(rh)coc.(hh),UNIQUE
